# Dense fuzzy physics-membership μ — MiniLM cosine to the 'Physics' anchor (NO training).
# model: sentence-transformers/all-MiniLM-L6-v2; clamp: to_membership (cosine∈[-1,1] → μ∈[0,1]); names verbatim from the category graph.
# Provenance: gen_dense_mu.py over data/benchmark/10k/category_parent.tsv. A raw pretrained-embedding prior (coarse semantic proximity), NOT the trained cosine-μ
# encoder and NOT authoritative — its job is DENSITY (a μ for every node) so the gated cone / IC / Lin machinery stops pruning through unscored connectors.
# Format: name<TAB>μ, μ∈[0,1]. '#' lines are comments.
1827_establishments_in_the_United_States	0.0109
Establishments_in_Florida_Territory_by_year	0.0000
1827_establishments_in_North_America	0.0042
Establishments_in_the_United_States_by_year	0.0000
1829	0.1755
1830s	0.0881
1830s_by_continent	0.0322
1830s_by_country	0.0208
1830s_establishments	0.0239
1830s_establishments_by_continent	0.0000
1830s_establishments_by_country	0.0000
1830s_establishments_in_Alabama	0.0000
1830s_establishments_in_the_United_States	0.0000
19th-century_establishments_in_Alabama	0.0020
Establishments_in_Alabama_by_decade	0.0000
1830s_establishments_in_Georgia_(U.S._state)	0.0000
19th-century_establishments_in_Georgia_(U.S._state)	0.0000
Establishments_in_Georgia_(U.S._state)_by_decade	0.0000
1830s_establishments_in_Mexico	0.0000
1830s_establishments_in_North_America	0.0000
1830s_in_North_America	0.0000
1830s_in_the_United_States	0.0081
1831	0.1678
1831_establishments	0.0386
1831_establishments_by_country	0.0000
1831_by_country	0.0888
1831_establishments_in_North_America	0.0000
1831_establishments_in_the_United_States	0.0000
1832	0.1869
1832_establishments	0.0428
1832_establishments_by_country	0.0026
1832_by_country	0.0908
1832_establishments_in_Alabama	0.0000
1832_establishments_in_the_United_States	0.0000
Establishments_in_Alabama_by_year	0.0000
1832_establishments_in_Georgia_(U.S._state)	0.0000
Establishments_in_Georgia_(U.S._state)_by_year	0.0000
1832_establishments_in_North_America	0.0000
1832_in_the_United_States	0.0594
Template_Year_in_country_category_with_prefix_parameter_matching_that_in_CountryPrefixThe	0.0000
Template_Year_in_country_category_with_unnamed_4th_parameter	0.0000
1832_in_North_America	0.0488
1833	0.1631
1833_establishments	0.0413
1833_establishments_by_country	0.0000
1833_by_country	0.0850
1833_establishments_in_Mexico	0.0000
1833_establishments_in_North_America	0.0000
1850s	0.0762
1850s_births	0.0485
19th-century_births	0.1360
1850s_beginnings	0.0056
1850s_by_continent	0.0349
1850s_by_country	0.0050
1850s_establishments	0.0016
1850s_establishments_by_continent	0.0000
1850s_establishments_by_country	0.0000
1850s_establishments_in_North_America	0.0000
1850s_in_North_America	0.0000
1850s_establishments_in_Utah_Territory	0.0000
1850s_establishments_in_the_United_States	0.0000
19th-century_establishments_in_Colorado	0.0000
19th-century_establishments_in_Nevada	0.0182
19th-century_establishments_in_Utah	0.0000
19th-century_establishments_in_Wyoming	0.0147
Establishments_in_Colorado_by_decade	0.0000
Establishments_in_Wyoming_by_decade	0.0028
Establishments_in_Nevada_by_decade	0.0213
Establishments_in_Utah_by_decade	0.0000
1850s_in_the_United_States	0.0000
1851	0.1100
1851_births	0.0532
1852	0.1180
1852_establishments	0.0000
1852_establishments_by_country	0.0000
1852_by_country	0.0448
1852_establishments_in_North_America	0.0000
1852_establishments_in_Utah_Territory	0.0000
1852_establishments_in_the_United_States	0.0000
Establishments_in_Utah_by_year	0.0000
Establishments_in_Utah_Territory_by_year	0.0000
1855	0.1401
1855_births	0.0840
1860s	0.1571
1860s_by_continent	0.0760
1860s_by_country	0.0728
1860s_establishments	0.0558
1860s_establishments_by_continent	0.0000
1860s_establishments_by_country	0.0000
1860s_establishments_in_Asia	0.0218
19th-century_establishments_in_Asia	0.0212
1860s_in_Asia	0.0837
Establishments_in_Asia_by_decade	0.0333
1860s_establishments_in_California	0.0170
1860s_establishments_in_the_United_States	0.0044
19th-century_establishments_in_California	0.0215
Establishments_in_California_by_decade	0.0132
1860s_establishments_in_Japan	0.0044
19th-century_establishments_in_Japan	0.0178
1860s_in_Japan	0.0725
Establishments_in_Japan_by_decade	0.0189
1860s_establishments_in_North_America	0.0000
1860s_in_North_America	0.0323
1860s_in_the_United_States	0.0532
19th_century_in_Asia	0.0800
Decades_in_Asia	0.1174
Decades_in_Japan	0.1263
1861	0.2016
1861_establishments	0.0966
1861_establishments_in_Asia	0.0503
Establishments_in_Asia_by_year	0.0025
1867	0.1991
1867_establishments	0.0717
1867_establishments_by_continent	0.0239
Establishments_by_year_and_continent	0.0000
1867_by_continent	0.1061
1867_establishments_by_country	0.0295
1867_by_country	0.1190
1867_establishments_in_California	0.0342
1867_establishments_in_the_United_States	0.0163
Establishments_in_California_by_year	0.0000
1867_establishments_in_North_America	0.0064
1867_in_the_United_States	0.0912
1867_in_North_America	0.0692
1869	0.1724
1869_establishments	0.0617
1869_establishments_by_country	0.0138
1869_by_country	0.0908
1869_establishments_in_Japan	0.0153
Establishments_in_Japan_by_year	0.0000
1869_establishments_in_Asia	0.0331
1869_in_Japan	0.0909
Years_in_Japan	0.0913
1870s	0.2352
1870s_by_continent	0.1385
1870s_by_country	0.1318
1870s_establishments	0.1119
1870s_establishments_by_continent	0.0488
1870s_establishments_by_country	0.0507
1870s_establishments_in_Europe	0.0587
1870s_in_Europe	0.1313
19th-century_establishments_in_Europe	0.0171
1870s_establishments_in_Nebraska	0.0477
1870s_establishments_in_the_United_States	0.0495
19th-century_establishments_in_Nebraska	0.0074
Establishments_in_Nebraska_by_decade	0.0074
1870s_establishments_in_North_America	0.0280
1870s_in_North_America	0.0831
1870s_establishments_in_the_United_Kingdom	0.0332
1870s_in_the_United_Kingdom	0.0968
19th-century_establishments_in_the_United_Kingdom	0.0087
Establishments_in_the_United_Kingdom_by_decade	0.0000
1870s_establishments_in_the_Europe	0.0550
1870s_in_the_United_States	0.1168
19th_century_in_Europe	0.0840
19th_century_in_the_United_Kingdom	0.0566
Decades_in_the_United_Kingdom	0.0893
1873	0.1955
1873_establishments	0.0577
1873_establishments_by_continent	0.0128
1873_by_continent	0.1194
1873_establishments_by_country	0.0153
1873_by_country	0.1208
1873_establishments_in_Nebraska	0.0059
1873_establishments_in_the_United_States	0.0000
Establishments_in_Nebraska_by_year	0.0000
1873_establishments_in_North_America	0.0000
1877	0.2540
1877_establishments	0.1077
1877_establishments_by_country	0.0540
1877_by_country	0.1663
1877_establishments_in_Europe	0.0637
1877_in_Europe	0.1597
Establishments_in_Europe_by_year	0.0000
1877_establishments_in_the_United_Kingdom	0.0353
Establishments_in_the_United_Kingdom_by_year	0.0000
Years_of_the_19th_century_in_Europe	0.0731
1877_by_continent	0.1471
1880s	0.1739
1880s_by_continent	0.0849
1880s_by_country	0.0856
1880s_establishments	0.0656
1880s_establishments_by_continent	0.0145
1880s_establishments_by_country	0.0121
1880s_establishments_in_England	0.0160
1880s_establishments_in_the_United_Kingdom	0.0050
19th-century_establishments_in_England	0.0137
Establishments_in_England_by_decade	0.0039
1880s_establishments_in_Europe	0.0291
1880s_in_Europe	0.1000
1880s_establishments_in_North_America	0.0000
1880s_in_North_America	0.0434
