# node_title	root_title	cur_relation	conf	neighborhood	node_type	root_type	raw
Southern_Andean_Yungas	Geographical_zones	subcategory	1.0	transitive_h4	category	category	
Laws_of_Shabbat	Government	subcategory	1.0	transitive_h4	category	category	
Ultra-distance_cyclists	Physical_fitness	subcategory	1.0	transitive_h4	category	category	
Disasters_in_Niue	History	subcategory	1.0	transitive_h4	category	category	
People_named_in_the_Offshore_Leaks_report	Data	subcategory	1.0	transitive_h4	category	category	
Directors_of_the_National_Institute_of_Allergy_and_Infectious_Diseases	Research	subcategory	1.0	transitive_h4	category	category	
Free_speech_synthesis_software	Speech–language_pathology	subcategory	1.0	transitive_h4	category	category	
Nazi_propaganda_radio	Mass_media	subcategory	1.0	transitive_h4	category	category	
People_from_Želino_Municipality	Statistical_regions	subcategory	1.0	transitive_h4	category	category	
Mitochondrial_diseases	Natural_events	subcategory	1.0	transitive_h4	category	category	
Bertrand_Russell_Professors_of_Philosophy	Philosophy	subcategory	1.0	transitive_h4	category	category	
Linguistic_history_of_Pakistan	Social_history	subcategory	1.0	transitive_h4	category	category	
Burned_buildings_and_structures_in_China	Disestablishments	subcategory	1.0	transitive_h4	category	category	
Dolmens_in_the_United_Kingdom	Physical_objects	subcategory	1.0	transitive_h4	category	category	
Mathematics_curricula_in_the_United_States	Pedagogical_disciplines	subcategory	1.0	transitive_h4	category	category	
Bird_sonation	Behavior	subcategory	1.0	transitive_h4	category	category	
Music_sequencers	Communication	subcategory	1.0	transitive_h4	category	category	
Epithets_of_Hecate	Classical_elements	subcategory	1.0	transitive_h4	category	category	
Kyiv_National_I._K._Karpenko-Kary_Theatre,_Cinema_and_Television_University	Culture	subcategory	1.0	transitive_h4	category	category	
Alumni_of_the_European_Schools	Cultural_policy	subcategory	1.0	transitive_h5	category	category	
Religion	Entities	subcategory	1.0	transitive_h5	category	category	
Danish_medical_researchers	Health	subcategory	1.0	transitive_h5	category	category	
Children's_books_about_fairies	Sociology_of_knowledge	subcategory	1.0	transitive_h5	category	category	
Television_series_about_abuse	Law	subcategory	1.0	transitive_h5	category	category	
Australian_children's_radio_programs	Mass_media	subcategory	1.0	transitive_h5	category	category	
Curvature_tensors	Differential_calculus	subcategory	1.0	transitive_h5	category	category	
Border_barriers	Politics	subcategory	1.0	transitive_h5	category	category	
Environmental_racism_in_the_United_States	Science	subcategory	1.0	transitive_h5	category	category	
Text_publication_societies	Time	subcategory	1.0	transitive_h5	category	category	
Serapeum	Cosmology	subcategory	1.0	transitive_h5	category	category	
Cultural_depictions_of_Alice_Liddell	Behavior	subcategory	1.0	transitive_h5	category	category	
Michael_Bloomberg	Communication	subcategory	1.0	transitive_h5	category	category	
Germany_at_the_1938_FIFA_World_Cup	Cultural_exchange	subcategory	1.0	transitive_h5	category	category	
Musicals_set_at_parties	Students	subcategory	1.0	transitive_h5	category	category	
Documentary_films_about_peak_oil	Energy	subcategory	1.0	transitive_h5	category	category	
Women_video_game_designers	Structure	subcategory	1.0	transitive_h5	category	category	
Novels_set_in_Lagos	Geography	subcategory	1.0	transitive_h5	category	category	
People_of_the_Albigensian_Crusade	Knowledge	subcategory	1.0	transitive_h5	category	category	
Theodicy	Statements	subcategory	1.0	transitive_h5	category	category	
Croatian_judges_of_international_courts_and_tribunals	Legal_systems	subcategory	1.0	transitive_h5	category	category	
British_Christian_hymns	Poetry_about_spirituality	subcategory	1.0	transitive_h5	category	category	
Olivetti_products	Mathematical_tools	subcategory	1.0	transitive_h5	category	category	
Depictions_of_Grand_Duchess_Anastasia_Nikolaevna_of_Russia_on_film	Christian_monarchs	subcategory	1.0	transitive_h5	category	category	
20th-century_disestablishments_in_Newfoundland	Former_monarchies	subcategory	1.0	transitive_h5	category	category	
Parental_leave_in_the_United_States	Time_management	subcategory	1.0	transitive_h5	category	category	
Live_albums_recorded_at_the_Royal_Albert_Hall	Venues	subcategory	1.0	transitive_h5	category	category	
Software_that_uses_VTK	Economy	subcategory	1.0	transitive_h5	category	category	
Former_subdivisions_of_Canada	Territorial_entities	subcategory	1.0	transitive_h5	category	category	
Seafaring_films	Works_about_geography	subcategory	1.0	transitive_h5	category	category	
Documentary_films_about_drugs	Health	subcategory	1.0	transitive_h5	category	category	
Easter_egg_(media)	Sociology_of_scientific_knowledge	subcategory	1.0	transitive_h5	category	category	
Clerks_of_the_New_Zealand_House_of_Representatives	Law	subcategory	1.0	transitive_h5	category	category	
1970s_murders_in_El_Salvador	Death	subcategory	1.0	transitive_h5	category	category	
Power_outages_in_North_America	Power_control	subcategory	1.0	transitive_h5	category	category	
Converts_to_the_Bahá'i_Faith_from_Protestantism	Religion_and_society	subcategory	1.0	transitive_h5	category	category	
Crucifixion_of_Jesus_in_art	Society	subcategory	1.0	transitive_h5	category	category	
21st-century_Indian_women_educational_theorists	Education_studies	subcategory	1.0	transitive_h5	category	category	
Films_based_on_Persuasion_(novel)	Change	subcategory	1.0	transitive_h5	category	category	
High-technology_business_districts_in_Chennai	Economy	subcategory	1.0	transitive_h5	category	category	
Birds_of_the_Yungas	Geographic_classifications	subcategory	1.0	transitive_h5	category	category	
Parasitic_nematodes_of_tetrapods	Health	subcategory	1.0	transitive_h5	category	category	
Beer_Hall_Putsch_participants	Historiography	subcategory	1.0	transitive_h5	category	category	
Plant_nothogenera	Procedural_knowledge	subcategory	1.0	transitive_h5	category	category	
Scholars_of_Syriac_Christianity	Language	subcategory	1.0	transitive_h5	category	category	
Apocarotenoids	Hypothetical_life_forms	subcategory	1.0	transitive_h5	category	category	
Flavonol_glycosides	Glycosides	subcategory	1.0	transitive_h5	category	category	
20th-century_women_MEPs_for_Greece	Politics_of_the_European_Union	subcategory	1.0	transitive_h5	category	category	
Sculptures_of_Hermes	Dreams_in_religion	subcategory	1.0	transitive_h5	category	category	
Jewish_Canadian_sociologists	Scientists	subcategory	1.0	transitive_h5	category	category	
